
 [ 0 , 3 , 4 ],
 [ 0 , 4 , 3 ],
 [ 0 , 5 , 12 ],
 [ 0 , 6 , 8 ],
 [ 0 , 8 , 6 ],
 [ 0 , 9 , 12 ],
 [ 0 , 12 , 5 ],
 [ 0 , 12 , 9 ],
 [ 1 , 2 , 2 ],
 [ 1 , 4 , 8 ],
 [ 1 , 8 , 4 ],
 [ 1 , 12 , 12 ],
 [ 2 , 1 , 2 ],
 [ 2 , 2 , 1 ],
 [ 2 , 3 , 6 ],
 [ 2 , 4 , 4 ],
 [ 2 , 6 , 3 ],
 [ 2 , 6 , 9 ],
 [ 2 , 9 , 6 ],
 [ 2 , 10 , 11 ],
 [ 2 , 11 , 10 ],
 [ 3 , 0 , 4 ],
 [ 3 , 2 , 6 ],
 [ 3 , 4 , 0 ],
 [ 3 , 4 , 12 ],
 [ 3 , 6 , 2 ],
 [ 3 , 6 , 6 ],
 [ 3 , 12 , 4 ],
 [ 4 , 0 , 3 ],
 [ 4 , 1 , 8 ],
 [ 4 , 2 , 4 ],
 [ 4 , 3 , 0 ],
 [ 4 , 3 , 12 ],
 [ 4 , 4 , 2 ],
 [ 4 , 4 , 7 ],
 [ 4 , 6 , 12 ],
 [ 4 , 7 , 4 ],
 [ 4 , 8 , 1 ],
 [ 4 , 8 , 8 ],
 [ 4 , 12 , 3 ],
 [ 4 , 12 , 6 ],
 [ 5 , 0 , 12 ],
 [ 5 , 10 , 10 ],
 [ 5 , 12 , 0 ],
 [ 6 , 0 , 8 ],
 [ 6 , 2 , 3 ],
 [ 6 , 2 , 9 ],
 [ 6 , 3 , 2 ],
 [ 6 , 3 , 6 ],
 [ 6 , 4 , 12 ],
 [ 6 , 6 , 3 ],
 [ 6 , 6 , 7 ],
 [ 6 , 7 , 6 ],
 [ 6 , 8 , 0 ],
 [ 6 , 9 , 2 ],
 [ 6 , 12 , 4 ],
 [ 6 , 12 , 12 ],
 [ 7 , 4 , 4 ],
 [ 7 , 6 , 6 ],
 [ 8 , 0 , 6 ],
 [ 8 , 1 , 4 ],
 [ 8 , 4 , 1 ],
 [ 8 , 4 , 8 ],
 [ 8 , 6 , 0 ],
 [ 8 , 8 , 4 ],
 [ 8 , 9 , 12 ],
 [ 8 , 12 , 9 ],
 [ 9 , 0 , 12 ],
 [ 9 , 2 , 6 ],
 [ 9 , 6 , 2 ],
 [ 9 , 8 , 12 ],
 [ 9 , 12 , 0 ],
 [ 9 , 12 , 8 ],
 [ 10 , 2 , 11 ],
 [ 10 , 5 , 10 ],
 [ 10 , 10 , 5 ],
 [ 10 , 11 , 2 ],
 [ 11 , 2 , 10 ],
 [ 11 , 10 , 2 ],
 [ 12 , 0 , 5 ],
 [ 12 , 0 , 9 ],
 [ 12 , 1 , 12 ],
 [ 12 , 3 , 4 ],
 [ 12 , 4 , 3 ],
 [ 12 , 4 , 6 ],
 [ 12 , 5 , 0 ],
 [ 12 , 6 , 4 ],
 [ 12 , 6 , 12 ],
 [ 12 , 8 , 9 ],
 [ 12 , 9 , 0 ],
 [ 12 , 9 , 8 ],
 [ 12 , 12 , 1 ],
 [ 12 , 12 , 6 ],
